name,type,start_time,duration,mosi,miso,data
Async Serial,data,0.001028625,0.00001025,,,7
SPI,result,0.00103875,0.000001625,7,ÿ,
Async Serial,data,0.001039437,0.00001025,,,8
SPI,result,0.0010495,0.000001688,8,ÿ,
Async Serial,data,0.00105025,0.00001025,,,9
SPI,result,0.001060313,0.000001688,9,ÿ,
Async Serial,data,0.001061063,0.00001025,,,1
SPI,result,0.001071187,0.000001688,1,ÿ,
Async Serial,data,0.001071875,0.00001025,,,0
SPI,result,0.001082,0.000001688,0,ÿ,
Async Serial,data,0.001082688,0.00001025,,,1
SPI,result,0.001092812,0.000001625,1,ÿ,
Async Serial,data,0.0010935,0.00001025,,,2
SPI,result,0.001103563,0.000001688,2,ÿ,
Async Serial,data,0.001104375,0.00001025,,,3
SPI,result,0.0011145,0.000001625,3,ÿ,
Async Serial,data,0.001115125,0.00001025,,,4
SPI,result,0.00112525,0.000001688,4,ÿ,
Async Serial,data,0.001126,0.00001025,,,5
SPI,result,0.001136062,0.000001688,5,ÿ,
Async Serial,data,0.001136812,0.00001025,,,6
SPI,result,0.001146875,0.000001625,6,ÿ,
Async Serial,data,0.001147625,0.00001025,,,7
SPI,result,0.00115775,0.000001688,7,ÿ,
Async Serial,data,0.001158438,0.00001025,,,8
SPI,result,0.001168562,0.000001625,8,ÿ,
Async Serial,data,0.00116925,0.00001025,,,9
SPI,result,0.001179312,0.000001688,9,ÿ,
Async Serial,data,0.001180062,0.00001025,,,1
SPI,result,0.001190125,0.000001688,1,ÿ,
Async Serial,data,0.001190875,0.00001025,,,0
SPI,result,0.001201062,0.000001625,0,ÿ,
Async Serial,data,0.00120175,0.00001025,,,1
SPI,result,0.001211812,0.000001688,1,ÿ,
Async Serial,data,0.001212562,0.00001025,,,2
SPI,result,0.001222625,0.000001688,2,ÿ,
Async Serial,data,0.001223375,0.00001025,,,3
SPI,result,0.0012335,0.000001688,3,ÿ,
Async Serial,data,0.001234187,0.00001025,,,4
SPI,result,0.001244313,0.000001687,4,ÿ,
Async Serial,data,0.001245,0.00001025,,,5
SPI,result,0.001255125,0.000001625,5,ÿ,
Async Serial,data,0.001255875,0.00001025,,,6
SPI,result,0.001266,0.000001688,6,ÿ,
Async Serial,data,0.001266625,0.00001025,,,7
SPI,result,0.001276813,0.000001687,7,ÿ,
Async Serial,data,0.0012775,0.00001025,,,8
SPI,result,0.001287625,0.000001625,8,ÿ,
Async Serial,data,0.001288313,0.00001025,,,9
SPI,result,0.001298375,0.000001688,9,ÿ,
Async Serial,data,0.001299125,0.00001025,,,1
SPI,result,0.001309187,0.000001688,1,ÿ,
Async Serial,data,0.001309938,0.00001025,,,0
SPI,result,0.001320063,0.000001688,0,ÿ,
Async Serial,data,0.00132075,0.00001025,,,1
SPI,result,0.001330875,0.000001687,1,ÿ,
Async Serial,data,0.001331625,0.00001025,,,2
SPI,result,0.001341687,0.000001625,2,ÿ,
Async Serial,data,0.001342437,0.00001025,,,3
SPI,result,0.001352437,0.000001688,3,ÿ,
Async Serial,data,0.00135325,0.00001025,,,4
SPI,result,0.001363375,0.000001687,4,ÿ,
Async Serial,data,0.001364063,0.00001025,,,5
SPI,result,0.001374188,0.000001625,5,ÿ,
Async Serial,data,0.001374875,0.00001025,,,6
SPI,result,0.001384937,0.000001688,6,ÿ,
Async Serial,data,0.001385688,0.00001025,,,7
SPI,result,0.001395875,0.000001625,7,ÿ,
Async Serial,data,0.001396562,0.00001025,,,8
SPI,result,0.001406625,0.000001688,8,ÿ,
Async Serial,data,0.001407375,0.00001025,,,9
SPI,result,0.001417438,0.000001687,9,ÿ,
Async Serial,data,0.001418188,0.00001025,,,1
SPI,result,0.001428312,0.000001688,1,ÿ,
Async Serial,data,0.001429,0.00001025,,,0
SPI,result,0.001439125,0.000001688,0,ÿ,
Async Serial,data,0.001439812,0.00001025,,,1
SPI,result,0.001449937,0.000001625,1,ÿ,
Async Serial,data,0.001450688,0.00001025,,,2
SPI,result,0.001460812,0.000001688,2,ÿ,
Async Serial,data,0.0014615,0.00001025,,,3
SPI,result,0.001471625,0.000001688,3,ÿ,
Async Serial,data,0.001472313,0.00001025,,,4
SPI,result,0.001482438,0.000001625,4,ÿ,
Async Serial,data,0.001483125,0.00001025,,,5
SPI,result,0.001493313,0.000001687,5,ÿ,
Async Serial,data,0.001494,0.00001025,,,6
SPI,result,0.001504125,0.000001625,6,ÿ,
Async Serial,data,0.001504813,0.00001025,,,7
SPI,result,0.001514875,0.000001688,7,ÿ,
Async Serial,data,0.001515625,0.00001025,,,8
SPI,result,0.001525812,0.000001625,8,ÿ,
Async Serial,data,0.0015265,0.00001025,,,9
SPI,result,0.001536563,0.000001687,9,ÿ,
